,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
48,80,75,55,45,j,1.0,2.1500374176284822,-1.0,2,14.997674042135257,red45,-1.0,395.84249302606622,-5.135273152756624,0,0,389.49772258499434,0,red45
49,-80,75,55,135,f,1.0,0.95009871126603684,1.0,1,-32.483028053870612,red45,1.0,402.47546700763269,-4.5462454437642181,0,0,396.13505297623487,3,green135
50,-80,75,55,45,l,1.0,1.3917669815455156,1.0,2,-32.483028053870612,green135,1.0,409.10009992288542,5.135273152756624,0,0,402.76050123941604,2,green45
51,80,75,55,135,l,0.0,1.0917748214269523,1.0,2,14.997674042135257,red135,-1.0,416.23306520930419,-4.5462454437642181,0,0,409.39158652167316,1,red135
52,-80,75,55,135,l,0.0,2.1500280097679934,1.0,2,-32.483028053870612,green135,-1.0,423.36605814913128,-4.6490151132951025,0,0,416.51922695893882,3,green135
53,-80,75,55,135,s,1.0,0.87511521065607667,-1.0,1,-32.483028053870612,green45,-1.0,430.49899350144915,-4.7517847828259869,0,0,423.65760347577816,3,green135
54,-80,75,55,45,l,1.0,0.71677378798995051,1.0,2,-32.483028053870612,green45,1.0,437.13193726382451,5.135273152756624,0,0,430.78608719946715,2,green45
55,80,75,55,45,l,1.0,1.7749653976025002,1.0,2,14.997674042135257,red45,1.0,443.76492664006946,5.0325034832257396,0,0,437.42254322983354,0,red45
56,80,75,55,45,f,1.0,2.7833734592823021,1.0,1,14.997674042135257,red45,1.0,450.39790603828078,-5.0325034832257396,0,0,444.05468846439544,0,red45
57,80,75,55,45,f,0.0,0.90010533953318372,1.0,2,12.044557977024418,green45,1.0,457.03088543648846,5.0325034832257396,0,0,450.69199718904565,0,red45
58,80,75,55,45,l,1.0,1.0251235494433786,1.0,2,12.044557977024418,red45,1.0,463.66386825574227,5.0325034832257396,0,0,457.32141613961358,0,red45
59,-80,75,55,135,f,1.0,0.83345093159005046,1.0,1,-32.483028053870612,red135,1.0,470.29685278551187,4.7517847828259869,0,0,463.95551450307175,3,green135
60,-80,75,55,45,s,1.0,0.99173847287602257,-1.0,1,-29.972879398526398,green45,-1.0,476.92982220568956,5.0325034832257396,0,0,470.58368448886176,2,green45
61,80,75,55,135,l,1.0,1.4583963018558279,1.0,2,12.044557977024418,green135,1.0,483.57109420547204,4.7517847828259869,0,0,477.225861638879,1,red135
62,80,75,55,135,f,1.0,2.0832735364019754,1.0,1,12.044557977024418,red135,1.0,490.20411123512531,4.7517847828259869,0,0,483.86102565637702,1,red135
63,80,75,55,45,l,0.0,1.5000745501711208,1.0,2,12.044557977024418,red45,-1.0,497.34536598716295,-5.0325034832257396,0,0,490.50068606111381,0,red45
